Photo_Name,Latitude,Longitude,Altitude_km,UTC_Timestamp
15-UVG-2020-11-17-231511,14.932,-89.2,408.21,11/17/2020 23:15
16-UVG-2020-11-17-231626 ,18.651,-86.228,408.49,11/17/2020 23:16
